UK000070765,20150214,PRCP,0,,,E,
UK000070765,20150214,TAVG,53,H,,S,
UK000070765,20150215,TMAX,71,,,E,
UK000070765,20150215,TMIN,55,,,E,
UK000070765,20150215,PRCP,38,,,E,
UK000070765,20150215,TAVG,57,H,,S,
UK000070765,20150216,TMAX,115,,,E,
UK000070765,20150216,TMIN,53,,,E,
UK000070765,20150216,PRCP,24,,,E,
UK000070765,20150216,TAVG,39,H,,S,
UK000070765,20150217,TMAX,120,,,E,
UK000070765,20150217,TMIN,2,,,E,
UK000070765,20150217,PRCP,2,,,E,
UK000070765,20150217,TAVG,48,H,,S,
UK000070765,20150218,TMAX,74,,,E,
UK000070765,20150218,TMIN,43,,,E,
UK000070765,20150218,PRCP,8,,,E,
UK000070765,20150218,TAVG,87,H,,S,
UK000070765,20150219,TMAX,59,,,E,
UK000070765,20150219,TMIN,45,,,E,
UK000070765,20150219,PRCP,0,,,E,
UK000070765,20150219,TAVG,51,H,,S,
UK000070765,20150220,TMAX,63,,,E,
UK000070765,20150220,TMIN,18,,,E,
UK000070765,20150220,PRCP,6,,,E,
UK000070765,20150220,TAVG,23,H,,S,
UK000070765,20150221,TMAX,45,,,E,
UK000070765,20150221,TMIN,-1,,,E,
UK000070765,20150221,PRCP,8,,,E,
UK000070765,20150221,TAVG,14,H,,S,
UK000070765,20150222,TMAX,57,,,E,
UK000070765,20150222,TMIN,2,,,E,
UK000070765,20150222,PRCP,50,,,E,
UK000070765,20150222,TAVG,19,H,,S,
UK000070765,20150223,TMAX,59,,,E,
UK000070765,20150223,TMIN,4,,,E,
UK000070765,20150223,PRCP,16,,,E,
UK000070765,20150223,TAVG,24,H,,S,
UK000070765,20150224,TMAX,89,,,E,
UK000070765,20150224,TMIN,18,,,E,
UK000070765,20150224,PRCP,28,,,E,
UK000070765,20150224,TAVG,26,H,,S,
UK000070765,20150225,TMAX,71,,,E,
UK000070765,20150225,TMIN,-6,,,E,
UK000070765,20150225,PRCP,0,,,E,
UK000070765,20150225,TAVG,32,H,,S,
UK000070765,20150226,TMAX,74,,,E,
UK000070765,20150226,TMIN,16,,,E,
UK000070765,20150226,PRCP,2,,,E,
UK000070765,20150226,TAVG,44,H,,S,
UK000070765,20150227,TMAX,78,,,E,
UK000070765,20150227,TMIN,15,,,E,
UK000070765,20150227,PRCP,2,,,E,
UK000070765,20150227,TAVG,42,H,,S,
UK000070765,20150228,TMAX,83,,,E,
UK000070765,20150228,TMIN,44,,,E,
UK000070765,20150228,PRCP,60,,,E,
